(32, 32)
(64, 64)
('Consistency check, these numbers should be small:', (1.0865634669253823e-14+0j))
         125520 function calls (121510 primitive calls) in 2.512 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.004    0.004 pyparsing.py:3295(_makeTags)
        1    0.000    0.000    0.000    0.000 symbol.py:3(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
       70    0.000    0.000    0.001    0.000 numeric.py:252(asarray)
       43    0.000    0.000    0.000    0.000 pyparsing.py:2176(__init__)
        1    0.000    0.000    0.000    0.000 numpytest.py:1(<module>)
       54    0.000    0.000    0.000    0.000 pyparsing.py:1405(__init__)
        1    0.000    0.000    0.047    0.047 format.py:415(read_array)
       30    0.000    0.000    0.000    0.000 numerictypes.py:448(_add_array_type)
       11    0.000    0.000    0.008    0.001 artist.py:788(__init__)
       56    0.000    0.000    0.000    0.000 fromnumeric.py:108(reshape)
        1    0.000    0.000    0.000    0.000 interpolate.py:1(<module>)
       69    0.000    0.000    0.001    0.000 cm.py:44(_reverse_cmap_spec)
        1    0.000    0.000    0.000    0.000 ssl.py:56(<module>)
        8    0.000    0.000    0.000    0.000 posixpath.py:321(normpath)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:306(prep_simple)
      135    0.000    0.000    0.000    0.000 markers.py:632(<lambda>)
       10    0.000    0.000    0.000    0.000 getlimits.py:148(<lambda>)
        7    0.000    0.000    0.000    0.000 parser.py:215(_convert)
        1    0.000    0.000    0.000    0.000 format.py:136(<module>)
        1    0.000    0.000    0.000    0.000 transformer.py:104(__init__)
       46    0.000    0.000    0.000    0.000 pyplot.py:1931(autogen_docstring)
       51    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
       79    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       11    0.000    0.000    0.000    0.000 lapack.py:45(find_best_lapack_type)
        4    0.000    0.000    0.011    0.003 tempfile.py:230(_mkstemp_inner)
        1    0.000    0.000    0.000    0.000 spines.py:1(<module>)
       12    0.000    0.000    0.000    0.000 pyparsing.py:321(__delitem__)
       10    0.000    0.000    0.000    0.000 posixpath.py:258(expanduser)
        1    0.000    0.000    0.000    0.000 bezier.py:3(<module>)
        2    0.000    0.000    0.061    0.030 getlimits.py:124(_init)
        1    0.000    0.000    0.000    0.000 core.py:2574(MaskedArray)
       14    0.000    0.000    0.004    0.000 genericpath.py:15(exists)
       20    0.000    0.000    0.000    0.000 function_base.py:3633(append)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:18(<module>)
        1    0.000    0.000    0.000    0.000 docstring.py:1(<module>)
        1    0.000    0.000    0.002    0.002 markers.py:21(MarkerStyle)
       33    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        4    0.000    0.000    0.000    0.000 tempfile.py:135(next)
        1    0.000    0.000    0.000    0.000 numerictypes.py:343(_add_integer_aliases)
       21    0.000    0.000    0.000    0.000 numerictypes.py:217(_evalname)
       56    0.000    0.000    0.000    0.000 {numpy.core.multiarray.count_nonzero}
        2    0.000    0.000    0.000    0.000 twodim_base.py:426(triu)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
       99    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        6    0.000    0.000    0.000    0.000 fftpack.py:43(_raw_fft)
        1    0.000    0.000    0.000    0.000 numerictypes.py:286(_add_types)
        1    0.000    0.000    0.002    0.002 version.py:27(<module>)
       11    0.000    0.000    0.000    0.000 pyparsing.py:1678(__str__)
       71    0.000    0.000    0.000    0.000 docstring.py:88(copy)
       47    0.000    0.000    0.000    0.000 docstring.py:78(__call__)
       18    0.000    0.000    0.000    0.000 sre_parse.py:217(isname)
      150    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       32    0.000    0.000    0.000    0.000 pyparsing.py:1464(parseImpl)
        1    0.000    0.000    0.000    0.000 Dialog.py:3(<module>)
       10    0.000    0.000    0.000    0.000 {method 'conjugate' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 difflib.py:29(<module>)
       18    0.000    0.000    0.000    0.000 core.py:905(__init__)
        3    0.000    0.000    0.000    0.000 {method 'outer' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.003    0.003 fontconfig_pattern.py:69(__init__)
        1    0.000    0.000    0.000    0.000 colorbar.py:20(<module>)
       69    0.000    0.000    0.000    0.000 sre_parse.py:68(__init__)
        4    0.000    0.000    0.025    0.006 __init__.py:166(_is_writable_dir)
        1    0.000    0.000    0.000    0.000 decomp_lu.py:1(<module>)
        9    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
       24    0.000    0.000    0.000    0.000 random.py:272(choice)
       71    0.000    0.000    0.000    0.000 docstring.py:90(do_copy)
        1    0.000    0.000    0.000    0.000 common.py:4(<module>)
        1    0.000    0.000    0.000    0.000 token.py:3(<module>)
        1    0.000    0.000    0.000    0.000 misc.py:1(<module>)
        7    0.000    0.000    0.000    0.000 {method 'write' of 'file' objects}
      153    0.000    0.000    0.000    0.000 {_sre.getlower}
      175    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.000    0.000 typeconv.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:785(_construct_lookups)
     10/6    0.000    0.000    0.001    0.000 pyparsing.py:2194(leaveWhitespace)
        1    0.000    0.000    0.000    0.000 helper.py:3(<module>)
       26    0.000    0.000    0.001    0.000 _methods.py:28(_all)
       29    0.000    0.000    0.000    0.000 pyparsing.py:1345(__str__)
        1    0.000    0.000    0.000    0.000 polytemplate.py:11(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:191(_getintp_ctype)
      174    0.000    0.000    0.000    0.000 {method 'ljust' of 'str' objects}
        6    0.000    0.000    0.000    0.000 posixpath.py:350(abspath)
        1    0.000    0.000    0.000    0.000 special_matrices.py:2(<module>)
        1    0.000    0.000    0.000    0.000 units.py:44(<module>)
        4    0.000    0.000    0.000    0.000 utils.py:113(__call__)
        2    0.000    0.000    0.000    0.000 fftpack.py:167(ifft)
        1    0.000    0.000    0.000    0.000 geo.py:245(AitoffAxes)
       26    0.000    0.000    0.001    0.000 {method 'all' of 'numpy.ndarray' objects}
       12    0.000    0.000    0.000    0.000 pyparsing.py:459(copy)
        1    0.000    0.000    0.000    0.000 symbols.py:1(<module>)
        1    0.000    0.000    0.000    0.000 machar.py:4(<module>)
      162    0.000    0.000    0.000    0.000 {max}
        4    0.000    0.000    0.027    0.007 __init__.py:447(_get_configdir)
       75    0.000    0.000    0.000    0.000 pyparsing.py:1301(setWhitespaceChars)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 geo.py:330(HammerAxes)
        2    0.000    0.000    0.000    0.000 {posix.urandom}
        1    0.000    0.000    0.000    0.000 text.py:141(Text)
        1    0.000    0.000    0.000    0.000 lines.py:71(Line2D)
        1    0.000    0.000    0.000    0.000 os.py:35(_get_exports_list)
     22/3    0.000    0.000    0.000    0.000 pyparsing.py:2582(streamline)
      119    0.000    0.000    0.000    0.000 opcode.py:27(def_op)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
        1    0.000    0.000    0.000    0.000 matfuncs.py:5(<module>)
       52    0.000    0.000    0.000    0.000 inspect.py:67(ismethod)
       55    0.000    0.000    0.000    0.000 collections.py:347(<genexpr>)
        1    0.000    0.000    0.000    0.000 scale.py:302(SymmetricalLogScale)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of 'file' objects}
        1    0.000    0.000    0.000    0.000 geo.py:416(MollweideAxes)
        1    0.000    0.000    0.000    0.000 legend.py:86(Legend)
        1    0.000    0.000    0.000    0.000 socket.py:179(_socketobject)
        6    0.000    0.000    0.000    0.000 pyparsing.py:3213(<lambda>)
       13    0.000    0.000    0.000    0.000 pyparsing.py:820(setParseAction)
        1    0.000    0.000    0.000    0.000 geo.py:514(LambertAxes)
        1    0.000    0.000    0.000    0.000 {method 'conj' of 'numpy.ndarray' objects}
      149    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       45    0.000    0.000    0.000    0.000 docstring.py:39(update)
        3    0.000    0.000    0.000    0.000 decimal.py:3782(__init__)
        4    0.000    0.000    0.001    0.000 warnings.py:45(filterwarnings)
      101    0.000    0.000    0.000    0.000 __init__.py:20(<lambda>)
        8    0.000    0.000    0.000    0.000 {fcntl.fcntl}
       50    0.000    0.000    0.000    0.000 {sys._getframe}
        4    0.000    0.000    0.017    0.004 tempfile.py:468(TemporaryFile)
        3    0.000    0.000    0.000    0.000 twodim_base.py:348(tri)
        9    0.000    0.000    0.000    0.000 pyparsing.py:3121(_escapeRegexRangeChars)
      368    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       72    0.000    0.000    0.000    0.000 numerictypes.py:128(english_lower)
       13    0.000    0.000    0.000    0.000 pyparsing.py:726(_normalizeParseActionArgs)
       26    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.061    0.015 getlimits.py:91(__new__)
       55    0.000    0.000    0.000    0.000 collections.py:349(<genexpr>)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 transforms.py:206(BboxBase)
       11    0.000    0.000    0.000    0.000 copy_reg.py:95(_slotnames)
       98    0.000    0.000    0.000    0.000 rcsetup.py:40(func)
       13    0.000    0.000    0.001    0.000 abc.py:105(register)
        1    0.000    0.000    0.000    0.000 image.py:30(_AxesImageBase)
       52    0.000    0.000    0.000    0.000 inspect.py:142(isfunction)
        1    0.000    0.000    0.000    0.000 transformer.py:94(Transformer)
       33    0.000    0.000    0.000    0.000 core.py:5641(isMaskedArray)
        1    0.000    0.000    0.000    0.000 axes.py:8435(subplot_class_factory)
        1    0.000    0.000    0.002    0.002 linalg.py:704(eigvals)
        2    0.000    0.000    0.000    0.000 numeric.py:1884(identity)
       10    0.000    0.000    0.000    0.000 __init__.py:420(_get_home)
      159    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 windowing.py:8(<module>)
       21    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
        1    0.000    0.000    0.007    0.007 texmanager.py:72(TexManager)
        1    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
       40    0.000    0.000    0.000    0.000 copy_reg.py:92(__newobj__)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
       12    0.000    0.000    0.000    0.000 pyparsing.py:3207(<lambda>)
        1    0.000    0.000    0.000    0.000 axis.py:588(Axis)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2267(And)
        1    0.000    0.000    0.000    0.000 ufuncs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tricontour.py:1(<module>)
        3    0.000    0.000    0.000    0.000 fftpack.py:518(_raw_fftnd)
       13    0.000    0.000    0.000    0.000 typeconv.py:22(convtypecode)
        1    0.000    0.000    0.000    0.000 FixTk.py:1(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:26(Collection)
        1    0.000    0.000    0.000    0.000 decimal.py:506(Decimal)
       24    0.000    0.000    0.000    0.000 type_check.py:104(real)
        1    0.000    0.000    0.000    0.000 numerictypes.py:456(_set_array_types)
        4    0.000    0.000    0.000    0.000 utils.py:157(deprecate)
        1    0.000    0.000    0.000    0.000 _import_tools.py:102(_get_sorted_names)
       52    0.000    0.000    0.000    0.000 inspect.py:209(iscode)
        1    0.000    0.000    0.000    0.000 parser.py:290(parser)
        6    0.000    0.000    0.002    0.000 pyparsing.py:2919(__init__)
      106    0.000    0.000    0.000    0.000 sre_parse.py:211(isident)
        2    0.000    0.000    0.000    0.000 twodim_base.py:169(eye)
        1    0.000    0.000    0.000    0.000 path.py:18(Path)
        1    0.000    0.000    0.000    0.000 dual.py:12(<module>)
       19    0.000    0.000    0.000    0.000 pyparsing.py:2899(__init__)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1394(FigureCanvasBase)
        1    0.000    0.000    0.161    0.161 __init__.py:14(pylab_setup)
        1    0.000    0.000    0.000    0.000 {parser.expr}
        1    0.000    0.000    0.000    0.000 pycodegen.py:183(CodeGenerator)
        1    0.000    0.000    0.061    0.061 decomp_schur.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cbook.py:108(CallbackRegistry)
       30    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        1    0.000    0.000    0.000    0.000 artist.py:66(Artist)
       40    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
       52    0.000    0.000    0.000    0.000 <string>:8(__new__)
       17    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        4    0.000    0.000    0.000    0.000 {numpy.fft.fftpack_lite.cfftf}
     12/6    0.000    0.000    0.002    0.000 pyparsing.py:2563(leaveWhitespace)
       68    0.000    0.000    0.000    0.000 pyparsing.py:1351(streamline)
        1    0.000    0.000    0.009    0.009 __init__.py:551(matplotlib_fname)
        5    0.000    0.000    0.000    0.000 precision.py:15(_get_precisions)
        1    0.000    0.000    0.000    0.000 parser.py:700(_tzparser)
       24    0.000    0.000    0.000    0.000 __init__.py:224(report)
        1    0.000    0.000    0.000    0.000 rfc822.py:71(<module>)
       11    0.000    0.000    0.000    0.000 lapack.py:23(cast_to_lapack_prefix)
        2    0.000    0.000    0.000    0.000 {function seed at 0x2ce7578}
        7    0.000    0.000    0.000    0.000 pyparsing.py:2749(__init__)
       11    0.000    0.000    0.000    0.000 genericpath.py:38(isdir)
        1    0.000    0.000    0.000    0.000 pyparsing.py:645(ParserElement)
        4    0.000    0.000    0.000    0.000 tempfile.py:124(rng)
       12    0.000    0.000    0.000    0.000 pyparsing.py:434(_asStringList)
      135    0.000    0.000    0.000    0.000 {cmp}
       43    0.000    0.000    0.000    0.000 sre_compile.py:52(fixup)
       57    0.000    0.000    0.000    0.000 transformer.py:797(lookup_node)
      113    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       20    0.000    0.000    0.000    0.000 index_tricks.py:163(<lambda>)
      159    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        6    0.000    0.000    0.000    0.000 decimal.py:515(__new__)
        8    0.000    0.000    0.000    0.000 core.py:7137(getdoc)
        1    0.000    0.000    0.000    0.000 scale.py:448(get_scale_docs)
       17    0.000    0.000    0.000    0.000 pyparsing.py:688(setName)
        3    0.000    0.000    0.000    0.000 numerictypes.py:608(obj2sctype)
       24    0.000    0.000    0.000    0.000 __init__.py:256(ge)
        2    0.000    0.000    0.003    0.002 pyparsing.py:2704(parseImpl)
       50    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
        2    0.000    0.000    0.000    0.000 random.py:100(seed)
        6    0.000    0.000    0.000    0.000 {sorted}
     10/1    0.000    0.000    0.000    0.000 utils.py:1004(visit)
       47    0.000    0.000    0.000    0.000 docstring.py:74(__init__)
        1    0.000    0.000    0.001    0.001 pyparsing.py:3129(oneOf)
      105    0.000    0.000    0.000    0.000 {unichr}
        1    0.000    0.000    0.000    0.000 pyparsing.py:247(ParseResults)
        1    0.000    0.000    0.000    0.000 transforms.py:697(Bbox)
       18    0.000    0.000    0.000    0.000 {_struct.calcsize}
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
        1    0.000    0.000    0.000    0.000 figure.py:200(Figure)
       23    0.000    0.000    0.001    0.000 core.py:5928(__init__)
        6    0.000    0.000    0.007    0.001 string.py:148(substitute)
       70    0.000    0.000    0.000    0.000 docstring.py:105(copy_dedent)
        9    0.000    0.000    0.000    0.000 extras.py:243(getdoc)
        4    0.000    0.000    0.000    0.000 tempfile.py:48(_set_cloexec)
        1    0.000    0.000    0.000    0.000 pickle.py:827(Unpickler)
       13    0.000    0.000    0.000    0.000 functions.py:60(zeros)
      163    0.000    0.000    0.000    0.000 {method 'start' of '_sre.SRE_Match' objects}
        2    0.000    0.000    0.000    0.000 threading.py:259(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:47(_localized_month)
        1    0.000    0.000    0.000    0.000 decomp_svd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:433(_construct_char_code_lookup)
       12    0.000    0.000    0.000    0.000 getlimits.py:147(<lambda>)
       43    0.000    0.000    0.000    0.000 _inspect.py:161(<lambda>)
        2    0.000    0.000    0.004    0.002 pyparsing.py:3215(srange)
       17    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        1    0.000    0.000    0.000    0.000 {numpy.core.multiarray._fastCopyAndTranspose}
        6    0.000    0.000    0.000    0.000 core.py:1052(__init__)
        1    0.000    0.000    0.000    0.000 backend_tkagg.py:126(FigureCanvasTkAgg)
        1    0.000    0.000    0.000    0.000 _methods.py:4(<module>)
       40    0.000    0.000    0.000    0.000 _inspect.py:24(isfunction)
        1    0.000    0.000    0.000    0.000 gzip.py:36(GzipFile)
        1    0.000    0.000    0.000    0.000 decomp_cholesky.py:1(<module>)
        2    0.000    0.000    0.000    0.000 getlimits.py:242(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2164(Canvas)
        3    0.000    0.000    0.001    0.000 warnings.py:36(formatwarning)
        7    0.000    0.000    0.000    0.000 pyparsing.py:2400(__init__)
        1    0.000    0.000    0.000    0.000 mathtext.py:680(BakomaFonts)
        1    0.000    0.000    0.000    0.000 textpath.py:25(__init__)
        1    0.000    0.000    0.000    0.000 case.py:133(TestCase)
        1    0.000    0.000    0.000    0.000 numerictypes.py:384(_set_up_aliases)
       12    0.000    0.000    0.000    0.000 pyparsing.py:1409(setName)
       30    0.000    0.000    0.000    0.000 pyparsing.py:347(__bool__)
        1    0.000    0.000    0.000    0.000 _iotools.py:456(StringConverter)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
       16    0.000    0.000    0.000    0.000 fromnumeric.py:1087(ravel)
       22    0.000    0.000    0.000    0.000 pyparsing.py:299(__getitem__)
        1    0.000    0.000    0.000    0.000 tripcolor.py:1(<module>)
       40    0.000    0.000    0.000    0.000 numerictypes.py:155(english_upper)
        1    0.000    0.000    0.000    0.000 backend_bases.py:116(RendererBase)
      9/1    0.000    0.000    0.001    0.001 transformer.py:712(factor)
        1    0.000    0.000    0.000    0.000 {_warnings.warn}
       12    0.000    0.000    0.000    0.000 dual.py:50(register_func)
        4    0.000    0.000    0.000    0.000 numeric.py:2178(seterr)
       41    0.000    0.000    0.000    0.000 {setattr}
        1    0.000    0.000    0.000    0.000 triplot.py:1(<module>)
        7    0.000    0.000    0.000    0.000 pyparsing.py:1215(__or__)
        1    0.000    0.000    0.000    0.000 glob.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:638(Thread)
        4    0.000    0.000    0.000    0.000 transformer.py:775(atom_string)
        1    0.000    0.000    0.000    0.000 rrule.py:893(_rrulestr)
        1    0.000    0.000    0.000    0.000 visitor.py:1(<module>)
        5    0.000    0.000    0.000    0.000 re.py:204(escape)
       21    0.000    0.000    0.000    0.000 _weakrefset.py:68(__contains__)
       23    0.000    0.000    0.000    0.000 precision.py:31(_lookup)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1519(Wm)
        1    0.000    0.000    0.000    0.000 tight_bbox.py:3(<module>)
      9/1    0.000    0.000    0.001    0.001 transformer.py:682(arith_expr)
       79    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       49    0.000    0.000    0.000    0.000 {iter}
        7    0.000    0.000    0.000    0.000 UserDict.py:58(get)
      9/1    0.000    0.000    0.001    0.001 transformer.py:606(or_test)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:34(Complex)
        1    0.000    0.000    0.000    0.000 patches.py:44(Patch)
       19    0.000    0.000    0.000    0.000 tokenize.py:44(group)
        1    0.000    0.000    0.000    0.000 pickle.py:171(Pickler)
        4    0.000    0.000    0.000    0.000 pyparsing.py:308(__setitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:180(Verbose)
        2    0.000    0.000    0.060    0.030 machar.py:95(__init__)
       11    0.000    0.000    0.000    0.000 stat.py:40(S_ISDIR)
        1    0.000    0.000    0.000    0.000 <string>:7(Polynomial)
       33    0.000    0.000    0.000    0.000 cm.py:23(_reverser)
        2    0.000    0.000    0.000    0.000 utils.py:1424(__enter__)
        1    0.000    0.000    0.000    0.000 Image.py:444(Image)
        1    0.000    0.000    0.000    0.000 parser.py:200(__init__)
        1    0.000    0.000    0.000    0.000 axis.py:22(Tick)
      9/1    0.000    0.000    0.001    0.001 transformer.py:725(power)
        1    0.000    0.000    0.000    0.000 <string>:7(Laguerre)
        1    0.000    0.000    0.000    0.000 <string>:7(Legendre)
        1    0.000    0.000    0.000    0.000 linalg.py:162(_assertFinite)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2633(Menu)
        3    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
       14    0.000    0.000    0.000    0.000 numerictypes.py:182(english_capitalize)
      9/1    0.000    0.000    0.001    0.001 transformer.py:592(test)
        1    0.000    0.000    0.000    0.000 backend_bases.py:647(GraphicsContextBase)
       24    0.000    0.000    0.000    0.000 getlimits.py:11(_frz)
        9    0.000    0.000    0.000    0.000 core.py:2436(getdoc)
        1    0.000    0.000    0.000    0.000 <string>:7(Hermite)
        2    0.000    0.000    0.000    0.000 {numpy.fft.fftpack_lite.cffti}
        1    0.000    0.000    0.000    0.000 transforms.py:1863(CompositeGenericTransform)
       31    0.000    0.000    0.000    0.000 _inspect.py:37(iscode)
        4    0.000    0.000    0.000    0.000 cbook.py:1126(__init__)
       27    0.000    0.000    0.000    0.000 decimal.py:3809(<genexpr>)
        4    0.000    0.000    0.000    0.000 fftpack.py:81(fft)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2864(Text)
        1    0.000    0.000    0.000    0.000 defmatrix.py:195(matrix)
       13    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 <string>:7(HermiteE)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        1    0.000    0.000    0.000    0.000 font_manager.py:582(FontProperties)
        1    0.000    0.000    0.001    0.001 transformer.py:1211(com_dictorsetmaker)
        1    0.000    0.000    0.000    0.000 handler.py:10(<module>)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
       69    0.000    0.000    0.000    0.000 {method 'iteritems' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 linalg.py:99(_commonType)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2349(NavigationToolbar2)
        1    0.000    0.000    0.000    0.000 array_printer.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:9(SAXException)
        1    0.000    0.000    0.000    0.000 syntax.py:10(<module>)
        1    0.000    0.000    0.000    0.000 decimal.py:3763(Context)
        2    0.000    0.000    0.000    0.000 copy_reg.py:14(pickle)
        1    0.000    0.000    0.000    0.000 <string>:7(Chebyshev)
        6    0.000    0.000    0.000    0.000 hashlib.py:94(__get_openssl_constructor)
        8    0.000    0.000    0.000    0.000 core.py:7132(__init__)
        1    0.000    0.000    0.000    0.000 mathtext.py:1025(StandardPsFonts)
        6    0.000    0.000    0.000    0.000 pyparsing.py:2004(__init__)
       13    0.000    0.000    0.000    0.000 pyparsing.py:1687(charsAsStr)
      9/1    0.000    0.000    0.001    0.001 transformer.py:738(atom)
        2    0.000    0.000    0.000    0.000 warnings.py:74(simplefilter)
        1    0.000    0.000    0.000    0.000 spines.py:17(Spine)
       70    0.000    0.000    0.000    0.000 pyparsing.py:888(postParse)
       21    0.000    0.000    0.000    0.000 UserDict.py:70(__contains__)
        5    0.000    0.000    0.000    0.000 {numpy.core.umath.seterrobj}
        1    0.000    0.000    0.000    0.000 fromnumeric.py:1643(all)
        1    0.000    0.000    0.000    0.000 future.py:3(<module>)
      9/1    0.000    0.000    0.001    0.001 transformer.py:694(term)
      9/1    0.000    0.000    0.001    0.001 transformer.py:669(shift_expr)
        1    0.000    0.000    0.000    0.000 {method 'seek' of 'file' objects}
        1    0.000    0.000    0.000    0.000 _import_tools.py:7(__init__)
        4    0.000    0.000    0.000    0.000 numeric.py:2274(geterr)
        1    0.000    0.000    0.000    0.000 misc.py:2(<module>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:997(enablePackrat)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        1    0.000    0.000    0.000    0.000 {math.exp}
        1    0.000    0.000    0.000    0.000 axis.py:1521(XAxis)
        1    0.000    0.000    0.000    0.000 financial.py:8(<module>)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2539(Listbox)
        1    0.000    0.000    0.000    0.000 format.py:173(read_magic)
        1    0.000    0.000    0.001    0.001 transformer.py:130(parseexpr)
        2    0.000    0.000    0.000    0.000 getlimits.py:267(max)
        1    0.000    0.000    0.008    0.008 font_manager.py:928(pickle_load)
        1    0.000    0.000    0.000    0.000 <string>:1(SplitResult)
       27    0.000    0.000    0.000    0.000 decimal.py:3816(<genexpr>)
       37    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
        1    0.000    0.000    0.000    0.000 tempfile.py:368(_TemporaryFileWrapper)
        1    0.000    0.000    0.000    0.000 numbers.py:295(Integral)
        1    0.000    0.000    0.000    0.000 linalg_version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 colorbar.py:170(ColorbarBase)
        6    0.000    0.000    0.000    0.000 pyparsing.py:1376(getException)
        1    0.000    0.000    0.000    0.000 table.py:145(Table)
      9/1    0.000    0.000    0.001    0.001 transformer.py:624(comparison)
        1    0.000    0.000    0.000    0.000 {time.localtime}
        7    0.000    0.000    0.000    0.000 legend_handler.py:128(__init__)
      9/1    0.000    0.000    0.001    0.001 transformer.py:613(and_test)
       11    0.000    0.000    0.000    0.000 {method 'get' of 'dictproxy' objects}
        1    0.000    0.000    0.000    0.000 threading.py:654(__init__)
        1    0.000    0.000    0.000    0.000 backend_agg.py:43(RendererAgg)
       55    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 polynomial.py:928(poly1d)
       68    0.000    0.000    0.000    0.000 posixpath.py:51(normcase)
        1    0.000    0.000    0.000    0.000 <string>:1(ParseResult)
        6    0.000    0.000    0.000    0.000 fromnumeric.py:398(swapaxes)
        1    0.000    0.000    0.000    0.000 collections.py:26(OrderedDict)
        1    0.000    0.000    0.000    0.000 numbers.py:169(Real)
        1    0.000    0.000    0.000    0.000 backend_bases.py:949(TimerBase)
        2    0.000    0.000    0.004    0.002 pyparsing.py:1018(parseString)
        1    0.000    0.000    0.000    0.000 {built-in method utcfromtimestamp}
        2    0.000    0.000    0.000    0.000 genericpath.py:26(isfile)
        1    0.000    0.000    0.000    0.000 transforms.py:1641(IdentityTransform)
        1    0.000    0.000    0.000    0.000 pyplot.py:57(_backend_selection)
      9/1    0.000    0.000    0.001    0.001 transformer.py:665(and_expr)
        1    0.000    0.000    0.000    0.000 text.py:1013(TextWithDash)
        1    0.000    0.000    0.000    0.000 <string>:1(Mismatch)
        1    0.000    0.000    0.000    0.000 utils.py:1020(visitDict)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
        1    0.000    0.000    0.000    0.000 result.py:26(TestResult)
        2    0.000    0.000    0.000    0.000 getlimits.py:146(<lambda>)
        4    0.000    0.000    0.000    0.000 {math.log}
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        2    0.000    0.000    0.000    0.000 {_csv.register_dialect}
