(32, 32)
(64, 64)
('Consistency check, these numbers should be small:', (1.0865634669253823e-14+0j))
         125520 function calls (121510 primitive calls) in 2.512 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.005    0.005    0.008    0.008 __init__.py:10(<module>)
        1    0.005    0.005    0.083    0.083 fontconfig_pattern.py:7(<module>)
        3    0.005    0.002    0.164    0.055 {__import__}
     1548    0.005    0.000    0.045    0.000 glob.py:80(glob0)
 1748/136    0.005    0.000    0.102    0.001 glob.py:29(iglob)
        1    0.005    0.005    0.005    0.005 runner.py:1(<module>)
        1    0.005    0.005    0.011    0.011 colors.py:50(<module>)
        1    0.005    0.005    0.013    0.013 contour.py:4(<module>)
    10179    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
        1    0.005    0.005    0.010    0.010 widgets.py:10(<module>)
       59    0.005    0.000    0.005    0.000 sre_compile.py:259(_mk_bitmap)
        1    0.005    0.005    0.008    0.008 arrayprint.py:4(<module>)
        4    0.005    0.001    0.005    0.001 {posix.unlink}
        1    0.004    0.004    0.006    0.006 cbook.py:4(<module>)
  831/310    0.004    0.000    0.005    0.000 sre_parse.py:141(getwidth)
      778    0.004    0.000    0.004    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        1    0.004    0.004    0.005    0.005 xmlreader.py:2(<module>)
        1    0.004    0.004    0.006    0.006 Image.py:27(<module>)
        4    0.004    0.001    0.004    0.001 {method 'read' of 'file' objects}
        1    0.004    0.004    0.006    0.006 numerictypes.py:82(<module>)
        6    0.004    0.001    0.048    0.008 patches.py:1521(_pprint_styles)
     2024    0.004    0.000    0.033    0.000 fromnumeric.py:1563(any)
        1    0.004    0.004    0.022    0.022 scale.py:1(<module>)
        1    0.004    0.004    0.009    0.009 triangulation.py:1(<module>)
        1    0.004    0.004    0.004    0.004 {numpy.core.multiarray.fromfile}
        1    0.004    0.004    0.057    0.057 patches.py:3(<module>)
       28    0.004    0.000    0.004    0.000 {posix.stat}
        1    0.004    0.004    0.016    0.016 ctypeslib.py:51(<module>)
     37/6    0.003    0.000    0.107    0.018 _import_tools.py:29(_get_info_files)
        1    0.003    0.003    0.007    0.007 httplib.py:67(<module>)
        1    0.003    0.003    0.006    0.006 decorators.py:15(<module>)
        1    0.003    0.003    0.067    0.067 polynomial.py:3(<module>)
        1    0.003    0.003    0.065    0.065 random.py:40(<module>)
        1    0.003    0.003    0.014    0.014 _internal.py:4(<module>)
        1    0.003    0.003    0.530    0.530 add_newdocs.py:9(<module>)
        1    0.003    0.003    0.004    0.004 arraysetops.py:25(<module>)
        1    0.003    0.003    0.007    0.007 cm.py:6(<module>)
       11    0.003    0.000    0.008    0.001 artist.py:805(get_aliases)
       11    0.003    0.000    0.006    0.001 artist.py:857(_get_setters_and_targets)
        1    0.003    0.003    0.167    0.167 pyplot.py:15(<module>)
        1    0.003    0.003    0.004    0.004 _datasource.py:33(<module>)
        1    0.003    0.003    0.004    0.004 afm.py:35(<module>)
        1    0.003    0.003    0.003    0.003 dis.py:1(<module>)
     2024    0.003    0.000    0.020    0.000 _methods.py:24(_any)
     2072    0.003    0.000    0.007    0.000 numeric.py:322(asanyarray)
        1    0.003    0.003    0.003    0.003 mimetools.py:1(<module>)
        1    0.003    0.003    0.003    0.003 functions.py:3(<module>)
        1    0.003    0.003    0.003    0.003 decomp_qr.py:1(<module>)
        1    0.003    0.003    0.028    0.028 tokenize.py:23(<module>)
        1    0.003    0.003    0.003    0.003 misc.py:4(<module>)
        1    0.003    0.003    0.003    0.003 arrayterator.py:9(<module>)
        1    0.003    0.003    0.008    0.008 main.py:1(<module>)
        1    0.003    0.003    0.003    0.003 fromnumeric.py:2(<module>)
        1    0.003    0.003    0.008    0.008 __init__.py:20(<module>)
        1    0.003    0.003    0.006    0.006 sysconfig.py:10(<module>)
        1    0.003    0.003    0.003    0.003 _pylab_helpers.py:3(<module>)
       26    0.003    0.000    0.003    0.000 {dir}
     2393    0.003    0.000    0.004    0.000 sre_parse.py:131(__getitem__)
        1    0.003    0.003    0.003    0.003 loader.py:1(<module>)
        1    0.003    0.003    0.005    0.005 mlab.py:142(<module>)
     4589    0.003    0.000    0.003    0.000 {isinstance}
        1    0.003    0.003    0.014    0.014 collections.py:10(<module>)
        1    0.003    0.003    0.003    0.003 utils.py:3(<module>)
        1    0.003    0.003    0.061    0.061 npyio.py:275(load)
        1    0.003    0.003    0.003    0.003 flinalg.py:5(<module>)
        1    0.003    0.003    0.012    0.012 decimal.py:116(<module>)
        1    0.003    0.003    0.003    0.003 rrule.py:6(<module>)
        1    0.003    0.003    0.010    0.010 lines.py:4(<module>)
        1    0.003    0.003    0.011    0.011 decomp.py:15(<module>)
     2024    0.002    0.000    0.022    0.000 {method 'any' of 'numpy.ndarray' objects}
        1    0.002    0.002    0.006    0.006 parser.py:7(<module>)
        1    0.002    0.002    0.009    0.009 figure.py:13(<module>)
      131    0.002    0.000    0.002    0.000 {numpy.core.multiarray.dot}
    11951    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
      593    0.002    0.000    0.002    0.000 {abs}
        1    0.002    0.002    0.002    0.002 FileDialog.py:9(<module>)
        1    0.002    0.002    0.042    0.042 utils.py:1096(safe_eval)
        1    0.002    0.002    0.002    0.002 subprocess.py:389(<module>)
        1    0.002    0.002    0.011    0.011 __init__.py:680(rc_params)
     3013    0.002    0.000    0.008    0.000 sre_parse.py:202(get)
        1    0.002    0.002    0.002    0.002 records.py:36(<module>)
        1    0.002    0.002    0.002    0.002 csv.py:4(<module>)
12629/12317    0.002    0.000    0.002    0.000 {len}
        1    0.002    0.002    0.003    0.003 tz.py:6(<module>)
        1    0.002    0.002    0.002    0.002 ast.py:4(<module>)
     3749    0.002    0.000    0.002    0.000 {getattr}
        1    0.002    0.002    0.002    0.002 ImagePalette.py:19(<module>)
   218/69    0.002    0.000    0.029    0.000 sre_parse.py:302(_parse_sub)
     1844    0.002    0.000    0.002    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       64    0.002    0.000    0.004    0.000 fnmatch.py:45(filter)
        1    0.002    0.002    0.002    0.002 triangulate.py:1(<module>)
        1    0.002    0.002    0.002    0.002 pyassem.py:1(<module>)
      394    0.002    0.000    0.006    0.000 artist.py:830(get_valid_values)
        1    0.002    0.002    0.002    0.002 bisect.py:1(<module>)
        1    0.002    0.002    0.002    0.002 textpath.py:17(TextToPath)
        4    0.001    0.000    0.001    0.000 {posix.fdopen}
     3329    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        1    0.001    0.001    0.001    0.001 _inspect.py:6(<module>)
        8    0.001    0.000    0.003    0.000 toeplitz_decomp.py:9(toeplitz_decomp)
        1    0.001    0.001    0.001    0.001 relativedelta.py:6(<module>)
       11    0.001    0.000    0.015    0.001 artist.py:929(pprint_setters)
      188    0.001    0.000    0.068    0.000 re.py:226(_compile)
        1    0.001    0.001    0.001    0.001 py3k.py:4(<module>)
        2    0.001    0.001    0.001    0.001 {numpy.linalg.lapack_lite.zgeev}
      220    0.001    0.000    0.016    0.000 sre_compile.py:179(_compile_charset)
     1389    0.001    0.000    0.002    0.000 artist.py:886(is_alias)
    174/2    0.001    0.000    0.004    0.002 pyparsing.py:892(_parseNoCache)
     2193    0.001    0.000    0.002    0.000 sre_parse.py:196(match)
       64    0.001    0.000    0.001    0.000 cm.py:28(revcmap)
        1    0.001    0.001    0.001    0.001 _mathtext_data.py:3(<module>)
        1    0.001    0.001    0.003    0.003 core.py:21(<module>)
      642    0.001    0.000    0.001    0.000 string.py:158(convert)
       69    0.001    0.000    0.007    0.000 sre_compile.py:362(_compile_info)
      133    0.001    0.000    0.001    0.000 pyparsing.py:655(__init__)
        1    0.001    0.001    0.001    0.001 shutil.py:5(<module>)
      165    0.001    0.000    0.005    0.000 cbook.py:969(dedent)
       66    0.001    0.000    0.001    0.000 {filter}
     1155    0.001    0.000    0.001    0.000 sre_parse.py:127(__len__)
     1356    0.001    0.000    0.001    0.000 {min}
       40    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.001    0.001    0.001    0.001 errors.py:9(<module>)
      585    0.001    0.000    0.001    0.000 {hasattr}
      492    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x7b6480}
      239    0.001    0.000    0.001    0.000 sre_compile.py:355(_simple)
      485    0.001    0.000    0.001    0.000 urllib.py:1200(<genexpr>)
       90    0.001    0.000    0.001    0.000 docstring.py:35(__call__)
      847    0.001    0.000    0.001    0.000 sre_parse.py:139(append)
        1    0.001    0.001    0.005    0.005 toeplitz_decomp.py:68(myBlockChol)
       69    0.001    0.000    0.066    0.001 sre_compile.py:496(compile)
      485    0.001    0.000    0.001    0.000 urlparse.py:331(<genexpr>)
        1    0.001    0.001    0.001    0.001 offsetbox.py:15(<module>)
      370    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
       69    0.001    0.000    0.030    0.000 sre_parse.py:676(parse)
       11    0.001    0.000    0.001    0.000 basic.py:251(inv)
       64    0.001    0.000    0.044    0.001 glob.py:66(glob1)
        1    0.001    0.001    0.001    0.001 fftpack.py:32(<module>)
